Addition,Subtraction,Multiplication,Division,Result
1,0,0,0,"def add(a, b): \n    result = a + b \n    return result"
0,1,0,0,"def subtract(a, b): \n    result = a - b \n    return result"
0,0,1,0,"def multiply(a, b): \n    result = a * b \n    return result"
0,0,0,1,"def divide(a, b): \n    result = a / b \n    return result"
2,0,0,0,"def addAdd(a, b, c): \n    result = a + b + c \n    return result"
1,1,0,0,"def addSubtract(a, b, c): \n    result = a + b - c \n    return result"
1,0,1,0,"def addMultiply(a, b, c): \n    result = a + b * c \n    return result"
1,0,0,1,"def addDivide(a, b, c): \n    result = a + b / c \n    return result"
1,1,0,0,"def subtractAdd(a, b, c): \n    result = a - b + c \n    return result"
0,2,0,0,"def subtractSubtract(a, b, c): \n    result = a - b - c \n    return result"
0,1,1,0,"def subtractMultiply(a, b, c): \n    result = a - b * c \n    return result"
0,1,0,1,"def subtractDivide(a, b, c): \n    result = a - b / c \n    return result"
1,0,1,0,"def multiplyAdd(a, b, c): \n    result = a * b + c \n    return result"
0,1,1,0,"def multiplySubtract(a, b, c): \n    result = a * b - c \n    return result"
0,0,2,0,"def multiplyMultiply(a, b, c): \n    result = a * b * c \n    return result"
0,0,1,1,"def multiplyDivide(a, b, c): \n    result = a * b / c \n    return result"
1,0,0,1,"def divideAdd(a, b, c): \n    result = a / b + c \n    return result"
0,1,0,1,"def divideSubtract(a, b, c): \n    result = a / b - c \n    return result"
0,0,1,1,"def divideMultiply(a, b, c): \n    result = a / b * c \n    return result"
0,0,0,2,"def divideDivide(a, b, c): \n    result = a / b / c \n    return result"
0,0,0,0,"Unable to process the result, please try other values."
